preset,condition,benchmark,n,correct,accuracy
qwen3.5-9b-it,yangming,gsm8k,1397,341,0.2441
qwen3.5-9b-it,bacon,humaneval,172,28,0.1628
qwen3.5-9b-it,baseline,humaneval,164,8,0.0488
qwen3.5-9b-it,confucian,humaneval,181,134,0.7403
qwen3.5-9b-it,cot,humaneval,164,16,0.0976
qwen3.5-9b-it,dao,humaneval,335,259,0.7731
qwen3.5-9b-it,falsificationist,humaneval,176,28,0.1591
qwen3.5-9b-it,hegelian,humaneval,175,3,0.0171
qwen3.5-9b-it,legal,humaneval,176,129,0.733
qwen3.5-9b-it,logician,humaneval,174,129,0.7414
qwen3.5-9b-it,military,humaneval,181,117,0.6464
qwen3.5-9b-it,mohist,humaneval,178,66,0.3708
qwen3.5-9b-it,neutral_long,humaneval,164,73,0.4451
qwen3.5-9b-it,pragmatist,humaneval,179,18,0.1006
qwen3.5-9b-it,socratic,humaneval,174,0,0.0
qwen3.5-9b-it,stoic,humaneval,175,44,0.2514
qwen3.5-9b-it,wittgenstein,humaneval,174,2,0.0115
qwen3.5-9b-it,yangming,humaneval,174,23,0.1322
qwen3.5-9b-it,bacon,ifeval,509,132,0.2593
qwen3.5-9b-it,baseline,ifeval,477,410,0.8595
qwen3.5-9b-it,confucian,ifeval,508,361,0.7106
qwen3.5-9b-it,cot,ifeval,477,120,0.2516
qwen3.5-9b-it,dao,ifeval,511,420,0.8219
qwen3.5-9b-it,falsificationist,ifeval,508,124,0.2441
qwen3.5-9b-it,hegelian,ifeval,524,132,0.2519
qwen3.5-9b-it,legal,ifeval,502,315,0.6275
qwen3.5-9b-it,logician,ifeval,516,305,0.5911
qwen3.5-9b-it,military,ifeval,503,325,0.6461
qwen3.5-9b-it,mohist,ifeval,515,380,0.7379
qwen3.5-9b-it,neutral_long,ifeval,954,820,0.8595
qwen3.5-9b-it,pragmatist,ifeval,514,125,0.2432
qwen3.5-9b-it,socratic,ifeval,514,123,0.2393
qwen3.5-9b-it,stoic,ifeval,507,122,0.2406
qwen3.5-9b-it,wittgenstein,ifeval,510,121,0.2373
qwen3.5-9b-it,yangming,ifeval,514,127,0.2471
qwen3.5-9b-it,bacon,mmlu,15028,2,0.0001
qwen3.5-9b-it,baseline,mmlu,14042,10924,0.778
qwen3.5-9b-it,confucian,mmlu,15023,10697,0.712
qwen3.5-9b-it,cot,mmlu,14042,13,0.0009
qwen3.5-9b-it,dao,mmlu,15001,10812,0.7208
qwen3.5-9b-it,falsificationist,mmlu,15065,0,0.0
qwen3.5-9b-it,hegelian,mmlu,15022,0,0.0
qwen3.5-9b-it,legal,mmlu,15071,10691,0.7094
qwen3.5-9b-it,logician,mmlu,15085,10688,0.7085
qwen3.5-9b-it,military,mmlu,15025,10732,0.7143
qwen3.5-9b-it,mohist,mmlu,15050,10840,0.7203
qwen3.5-9b-it,neutral_long,mmlu,28084,21866,0.7786
qwen3.5-9b-it,pragmatist,mmlu,15049,0,0.0
qwen3.5-9b-it,socratic,mmlu,15035,0,0.0
qwen3.5-9b-it,stoic,mmlu,15041,0,0.0
qwen3.5-9b-it,wittgenstein,mmlu,15039,0,0.0
qwen3.5-9b-it,yangming,mmlu,15096,0,0.0
qwen3.5-9b-it,bacon,truthfulqa,879,0,0.0
qwen3.5-9b-it,baseline,truthfulqa,817,594,0.7271
qwen3.5-9b-it,confucian,truthfulqa,869,588,0.6766
qwen3.5-9b-it,cot,truthfulqa,817,0,0.0
qwen3.5-9b-it,dao,truthfulqa,876,602,0.6872
qwen3.5-9b-it,falsificationist,truthfulqa,873,0,0.0
qwen3.5-9b-it,hegelian,truthfulqa,882,0,0.0
qwen3.5-9b-it,legal,truthfulqa,1693,1224,0.723
qwen3.5-9b-it,logician,truthfulqa,874,576,0.659
qwen3.5-9b-it,military,truthfulqa,880,589,0.6693
qwen3.5-9b-it,mohist,truthfulqa,877,614,0.7001
qwen3.5-9b-it,neutral_long,truthfulqa,817,589,0.7209
qwen3.5-9b-it,pragmatist,truthfulqa,874,0,0.0
qwen3.5-9b-it,socratic,truthfulqa,861,0,0.0
qwen3.5-9b-it,stoic,truthfulqa,881,0,0.0
qwen3.5-9b-it,wittgenstein,truthfulqa,874,0,0.0
qwen3.5-9b-it,yangming,truthfulqa,879,0,0.0
